===============================================================================
Id,USDDKK,len,datetime,open,high,low,close,volume,openinterest,USDPLN,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,USDDKK,USDPLN
1117,USDDKK,1116,2009-04-23 23:59:59.999989,5.72975,5.65795,5.73089,5.6645,0.0,,USDPLN,1117,2009-04-23 23:59:59.999989,3.38725,3.36145,3.46043,3.42175,0.0,,TestStrategy,1117,733520.9999999999,Broker,1117,99570.78215630777,100211.54402052837,BuySell,1117,,,BuySell,1117,,,DataTrades,1117,,
1118,USDDKK,1117,2009-04-24 23:59:59.999989,5.6645,5.59952,5.66855,5.65629,0.0,,USDPLN,1118,2009-04-24 23:59:59.999989,3.42162,3.35604,3.43481,3.42718,0.0,,TestStrategy,1118,733521.9999999999,Broker,1118,99570.78215630777,100204.62134655687,BuySell,1118,,,BuySell,1118,,,DataTrades,1118,,
1119,USDDKK,1118,2009-04-27 23:59:59.999989,5.6563,5.64895,5.7305,5.71874,0.0,,USDPLN,1119,2009-04-27 23:59:59.999989,3.4274,3.41585,3.50331,3.49256,0.0,,TestStrategy,1119,733524.9999999999,Broker,1119,99570.78215630777,100195.73009640303,BuySell,1119,,,BuySell,1119,,,DataTrades,1119,,
1120,USDDKK,1119,2009-04-28 23:59:59.999989,5.7187,5.64255,5.74458,5.64687,0.0,,USDPLN,1120,2009-04-28 23:59:59.999989,3.4926,3.39197,3.52184,3.3935,0.0,,TestStrategy,1120,733525.9999999999,Broker,1120,99570.78215630777,100219.70386420663,BuySell,1120,,,BuySell,1120,,,DataTrades,1120,,
1121,USDDKK,1120,2009-04-29 23:59:59.999989,5.64721,5.57964,5.6545,5.5938,0.0,,USDPLN,1121,2009-04-29 23:59:59.999989,3.39356,3.2796,3.3982,3.29547,0.0,,TestStrategy,1121,733526.9999999999,Broker,1121,99570.78215630777,100251.76194180417,BuySell,1121,,,BuySell,1121,,,DataTrades,1121,,
1122,USDDKK,1121,2009-04-30 23:59:59.999989,5.5938,5.56347,5.64517,5.61991,0.0,,USDPLN,1122,2009-04-30 23:59:59.999989,3.2951,3.25623,3.36656,3.31653,0.0,,TestStrategy,1122,733527.9999999999,Broker,1122,99570.78215630777,100251.66480876993,BuySell,1122,,,BuySell,1122,,,DataTrades,1122,,
1123,USDDKK,1122,2009-05-01 23:59:59.999989,5.6197,5.57815,5.63004,5.5885,0.0,,USDPLN,1123,2009-05-01 23:59:59.999989,3.3164,3.26759,3.3184,3.279,0.0,,TestStrategy,1123,733528.9999999999,Broker,1123,99570.78215630777,100258.81737758945,BuySell,1123,,,BuySell,1123,,,DataTrades,1123,,
1124,USDDKK,1123,2009-05-04 23:59:59.999989,5.58837,5.53998,5.63575,5.56801,0.0,,USDPLN,1124,2009-05-04 23:59:59.999989,3.27881,3.23411,3.3322,3.24705,0.0,,TestStrategy,1124,733531.9999999999,Broker,1124,99570.78215630777,100267.79161742571,BuySell,1124,,,BuySell,1124,,,DataTrades,1124,,
1125,USDDKK,1124,2009-05-05 23:59:59.999989,5.5682,5.54261,5.62087,5.60965,0.0,,USDPLN,1125,2009-05-05 23:59:59.999989,3.2473,3.2244,3.28388,3.2764,0.0,,TestStrategy,1125,733532.9999999999,Broker,1125,99570.78215630777,100270.0807641926,BuySell,1125,,,BuySell,1125,,,DataTrades,1125,,
1126,USDDKK,1125,2009-05-06 23:59:59.999989,5.60944,5.56802,5.6207,5.60511,0.0,,USDPLN,1126,2009-05-06 23:59:59.999989,3.27646,3.26621,3.32041,3.28105,0.0,,TestStrategy,1126,733533.9999999999,Broker,1126,99570.78215630777,100265.30225955973,BuySell,1126,,,BuySell,1126,,,DataTrades,1126,,
